code,name_vi,name_en,country,province,zip_code
1,Quận Ba Đình,Ba Dinh,1,1,
2,Quận Hoàn Kiếm,Hoan Kiem,1,1,
3,Quận Tây Hồ,Tay Ho,1,1,
4,Quận Long Biên,Long Bien,1,1,
5,Quận Cầu Giấy,Cau Giay,1,1,
6,Quận Đống Đa,Dong Da,1,1,
7,Quận Hai Bà Trưng,Hai Ba Trung,1,1,
8,Quận Hoàng Mai,Hoang Mai,1,1,
9,Quận Thanh Xuân,Thanh Xuan,1,1,
10,Huyện Sóc Sơn,Soc Son,1,1,
11,Huyện Đông Anh,Dong Anh,1,1,
12,Huyện Gia Lâm,Gia Lam,1,1,
13,Quận Nam Từ Liêm,Nam Tu Liem,1,1,
14,Huyện Thanh Trì,Thanh Tri,1,1,
15,Quận Bắc Từ Liêm,Bac Tu Liem,1,1,
16,Huyện Mê Linh,Me Linh,1,1,
17,Quận Hà Đông,Ha Dong,1,1,
18,Thị xã Sơn Tây,Son Tay Town,1,1,
19,Huyện Ba Vì,Ba Vi,1,1,
20,Huyện Phúc Thọ,Phuc Tho,1,1,
21,Huyện Đan Phượng,Dan Phuong,1,1,
22,Huyện Hoài Đức,Hoai Duc,1,1,
23,Huyện Quốc Oai,Quoc Oai,1,1,
24,Huyện Thạch Thất,Thach That,1,1,
25,Huyện Chương Mỹ,Chuong My,1,1,
26,Huyện Thanh Oai,Thanh Oai,1,1,
27,Huyện Thường Tín,Thuong Tin,1,1,
28,Huyện Phú Xuyên,Phu Xuyen,1,1,
29,Huyện Ứng Hòa,Ung Hoa,1,1,
30,Huyện Mỹ Đức,My Duc,1,1,
31,Thành phố Hà Giang,Ha Giang City,1,2,
32,Huyện Đồng Văn,Dong Van,1,2,
33,Huyện Mèo Vạc,Meo Vac,1,2,
34,Huyện Yên Minh,Yen Minh,1,2,
35,Huyện Quản Bạ,Quan Ba,1,2,
36,Huyện Vị Xuyên,Vi Xuyen,1,2,
37,Huyện Bắc Mê,Bac Me,1,2,
38,Huyện Hoàng Su Phì,Hoang Su Phi,1,2,
39,Huyện Xín Mần,Xin Man,1,2,
40,Huyện Bắc Quang,Bac Quang,1,2,
41,Huyện Quang Bình,Quang Binh,1,2,
42,Thành phố Cao Bằng,Cao Bang City,1,3,
43,Huyện Bảo Lâm,Bao Lam,1,3,
44,Huyện Bảo Lạc,Bao Lac,1,3,
45,Huyện Hà Quảng,Ha Quang,1,3,
46,Huyện Trùng Khánh,Trung Khanh,1,3,
47,Huyện Hạ Lang,Ha Lang,1,3,
48,Huyện Quảng Hòa,Quang Hoa,1,3,
49,Huyện Hoà An,Hoa An,1,3,
50,Huyện Nguyên Bình,Nguyen Binh,1,3,
51,Huyện Thạch An,Thach An,1,3,
52,Thành Phố Bắc Kạn,Bac Kan City,1,4,
53,Huyện Pác Nặm,Pac Nam,1,4,
54,Huyện Ba Bể,Ba Be,1,4,
55,Huyện Ngân Sơn,Ngan Son,1,4,
56,Huyện Bạch Thông,Bach Thong,1,4,
57,Huyện Chợ Đồn,Cho Don,1,4,
58,Huyện Chợ Mới,Cho Moi,1,4,
59,Huyện Na Rì,Na Ri,1,4,
60,Thành phố Tuyên Quang,Tuyen Quang City,1,5,
61,Huyện Lâm Bình,Lam Binh,1,5,
62,Huyện Na Hang,Na Hang,1,5,
63,Huyện Chiêm Hóa,Chiem Hoa,1,5,
64,Huyện Hàm Yên,Ham Yen,1,5,
65,Huyện Yên Sơn,Yen Son,1,5,
66,Huyện Sơn Dương,Son Duong,1,5,
67,Thành phố Lào Cai,Lao Cai City,1,6,
68,Huyện Bát Xát,Bat Xat,1,6,
69,Huyện Mường Khương,Muong Khuong,1,6,
70,Huyện Si Ma Cai,Si Ma Cai,1,6,
71,Huyện Bắc Hà,Bac Ha,1,6,
72,Huyện Bảo Thắng,Bao Thang,1,6,
73,Huyện Bảo Yên,Bao Yen,1,6,
74,Thị xã Sa Pa,Sa Pa Town,1,6,
75,Huyện Văn Bàn,Van Ban,1,6,
76,Thành phố Điện Biên Phủ,Dien Bien Phu City,1,7,
77,Thị Xã Mường Lay,Muong Lay Town,1,7,
78,Huyện Mường Nhé,Muong Nhe,1,7,
79,Huyện Mường Chà,Muong Cha,1,7,
80,Huyện Tủa Chùa,Tua Chua,1,7,
81,Huyện Tuần Giáo,Tuan Giao,1,7,
82,Huyện Điện Biên,Dien Bien,1,7,
83,Huyện Điện Biên Đông,Dien Bien Dong,1,7,
84,Huyện Mường Ảng,Muong Ang,1,7,
85,Huyện Nậm Pồ,Nam Po,1,7,
86,Thành phố Lai Châu,Lai Chau City,1,8,
87,Huyện Tam Đường,Tam Duong,1,8,
88,Huyện Mường Tè,Muong Te,1,8,
89,Huyện Sìn Hồ,Sin Ho,1,8,
90,Huyện Phong Thổ,Phong Tho,1,8,
91,Huyện Than Uyên,Than Uyen,1,8,
92,Huyện Tân Uyên,Tan Uyen,1,8,
93,Huyện Nậm Nhùn,Nam Nhun,1,8,
94,Thành phố Sơn La,Son La City,1,9,
95,Huyện Quỳnh Nhai,Quynh Nhai,1,9,
96,Huyện Thuận Châu,Thuan Chau,1,9,
97,Huyện Mường La,Muong La,1,9,
98,Huyện Bắc Yên,Bac Yen,1,9,
99,Huyện Phù Yên,Phu Yen,1,9,
100,Huyện Mộc Châu,Moc Chau,1,9,
101,Huyện Yên Châu,Yen Chau,1,9,
102,Huyện Mai Sơn,Mai Son,1,9,
103,Huyện Sông Mã,Song Ma,1,9,
104,Huyện Sốp Cộp,Sop Cop,1,9,
105,Huyện Vân Hồ,Van Ho,1,9,
106,Thành phố Yên Bái,Yen Bai City,1,10,
107,Thị xã Nghĩa Lộ,Nghia Lo Town,1,10,
108,Huyện Lục Yên,Luc Yen,1,10,
109,Huyện Văn Yên,Van Yen,1,10,
110,Huyện Mù Căng Chải,Mu Cang Chai,1,10,
111,Huyện Trấn Yên,Tran Yen,1,10,
112,Huyện Trạm Tấu,Tram Tau,1,10,
113,Huyện Văn Chấn,Van Chan,1,10,
114,Huyện Yên Bình,Yen Binh,1,10,
115,Thành phố Hòa Bình,Hoa Binh City,1,11,
116,Huyện Đà Bắc,Da Bac,1,11,
117,Huyện Lương Sơn,Luong Son,1,11,
118,Huyện Kim Bôi,Kim Boi,1,11,
119,Huyện Cao Phong,Cao Phong,1,11,
120,Huyện Tân Lạc,Tan Lac,1,11,
121,Huyện Mai Châu,Mai Chau,1,11,
122,Huyện Lạc Sơn,Lac Son,1,11,
123,Huyện Yên Thủy,Yen Thuy,1,11,
124,Huyện Lạc Thủy,Lac Thuy,1,11,
125,Thành phố Thái Nguyên,Thai Nguyen City,1,12,
126,Thành phố Sông Công,Song Cong City,1,12,
127,Huyện Định Hóa,Dinh Hoa,1,12,
128,Huyện Phú Lương,Phu Luong,1,12,
129,Huyện Đồng Hỷ,Dong Hy,1,12,
130,Huyện Võ Nhai,Vo Nhai,1,12,
131,Huyện Đại Từ,Dai Tu,1,12,
132,Thành phố Phổ Yên,Pho Yen City,1,12,
133,Huyện Phú Bình,Phu Binh,1,12,
134,Thành phố Lạng Sơn,Lang Son City,1,13,
135,Huyện Tràng Định,Trang Dinh,1,13,
136,Huyện Bình Gia,Binh Gia,1,13,
137,Huyện Văn Lãng,Van Lang,1,13,
