code,name_vi,name_en,country,zip_code
1,Hà Nội,Ha Noi,1,
2,Hà Giang,Ha Giang,1,
3,Cao Bằng,Cao Bang,1,
4,Bắc Kạn,Bac Kan,1,
5,Tuyên Quang,Tuyen Quang,1,
6,Lào Cai,Lao Cai,1,
7,Điện Biên,Dien Bien,1,
8,Lai Châu,Lai Chau,1,
9,Sơn La,Son La,1,
10,Yên Bái,Yen Bai,1,
11,Hoà Bình,Hoa Binh,1,
12,Thái Nguyên,Thai Nguyen,1,
13,Lạng Sơn,Lang Son,1,
14,Quảng Ninh,Quang Ninh,1,
15,Bắc Giang,Bac Giang,1,
16,Phú Thọ,Phu Tho,1,
17,Vĩnh Phúc,Vinh Phuc,1,
18,Bắc Ninh,Bac Ninh,1,
19,Hải Dương,Hai Duong,1,
20,Hải Phòng,Hai Phong,1,
21,Hưng Yên,Hung Yen,1,
22,Thái Bình,Thai Binh,1,
23,Hà Nam,Ha Nam,1,
24,Nam Định,Nam Dinh,1,
25,Ninh Bình,Ninh Binh,1,
26,Thanh Hóa,Thanh Hoa,1,
27,Nghệ An,Nghe An,1,
28,Hà Tĩnh,Ha Tinh,1,
29,Quảng Bình,Quang Binh,1,
30,Quảng Trị,Quang Tri,1,
31,Thừa Thiên Huế,Thua Thien Hue,1,
32,Đà Nẵng,Da Nang,1,
33,Quảng Nam,Quang Nam,1,
34,Quảng Ngãi,Quang Ngai,1,
35,Bình Định,Binh Dinh,1,
36,Phú Yên,Phu Yen,1,
37,Khánh Hòa,Khanh Hoa,1,
38,Ninh Thuận,Ninh Thuan,1,
39,Bình Thuận,Binh Thuan,1,
40,Kon Tum,Kon Tum,1,
41,Gia Lai,Gia Lai,1,
42,Đắk Lắk,Dak Lak,1,
43,Đắk Nông,Dak Nong,1,
44,Lâm Đồng,Lam Dong,1,
45,Bình Phước,Binh Phuoc,1,
46,Tây Ninh,Tay Ninh,1,
47,Bình Dương,Binh Duong,1,
48,Đồng Nai,Dong Nai,1,
49,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,1,
50,Hồ Chí Minh,Ho Chi Minh,1,
51,Long An,Long An,1,
52,Tiền Giang,Tien Giang,1,
53,Bến Tre,Ben Tre,1,
54,Trà Vinh,Tra Vinh,1,
55,Vĩnh Long,Vinh Long,1,
56,Đồng Tháp,Dong Thap,1,
57,An Giang,An Giang,1,
58,Kiên Giang,Kien Giang,1,
59,Cần Thơ,Can Tho,1,
60,Hậu Giang,Hau Giang,1,
61,Sóc Trăng,Soc Trang,1,
62,Bạc Liêu,Bac Lieu,1,
63,Cà Mau,Ca Mau,1,
64,Alabama,Alabama,2,
65,Alaska,Alaska,2,
66,Arizona,Arizona,2,
67,Arlansas,Arlansas,2,
68,California,California,2,
69,Colorado,Colorado,2,
70,Connecticut,Connecticut,2,
71,Delaware,Delaware,2,
72,Florida,Florida,2,
73,Georgia,Georgia,2,
74,Hawaii,Hawaii,2,
75,Idaho,Idaho,2,
76,Illinois,Illinois,2,
77,Indiana,Indiana,2,
78,Iowa,Iowa,2,
79,Kansas,Kansas,2,
80,Kentucky,Kentucky,2,
81,Louisiana,Louisiana,2,
82,Maine,Maine,2,
83,Maryland,Maryland,2,
84,Massachusetts,Massachusetts,2,
85,Michigan,Michigan,2,
86,Minnesota,Minnesota,2,
87,Mississippi,Mississippi,2,
88,Missouri,Missouri,2,
89,Montana,Montana,2,
90,Nebraska,Nebraska,2,
91,Nevada,Nevada,2,
92,New Hampshire,New Hampshire,2,
93,New Jersey,New Jersey,2,
94,New Mexico,New Mexico,2,
95,New York,New York,2,
96,North Carolina,North Carolina,2,
97,North Dakota,North Dakota,2,
98,Ohio,Ohio,2,
99,Oklahoma,Oklahoma,2,
100,Oregon,Oregon,2,
101,Pennsylvania,Pennsylvania,2,
102,Rhode Island,Rhode Island,2,
103,South Carolina,South Carolina,2,
104,South Dakota,South Dakota,2,
105,Tennessee,Tennessee,2,
106,Texas,Texas,2,
107,Utah,Utah,2,
108,Vermont,Vermont,2,
109,Virginia,Virginia,2,
110,Washington,Washington,2,
