code,name_vi,name_en,province,country,zip_code
1,Quận Ba Đình,Ba Dinh,1,1,
2,Quận Hoàn Kiếm,Hoan Kiem,1,1,
3,Quận Tây Hồ,Tay Ho,1,1,
4,Quận Long Biên,Long Bien,1,1,
5,Quận Cầu Giấy,Cau Giay,1,1,
6,Quận Đống Đa,Dong Da,1,1,
7,Quận Hai Bà Trưng,Hai Ba Trung,1,1,
8,Quận Hoàng Mai,Hoang Mai,1,1,
9,Quận Thanh Xuân,Thanh Xuan,1,1,
10,Huyện Sóc Sơn,Soc Son,1,1,
11,Huyện Đông Anh,Dong Anh,1,1,
12,Huyện Gia Lâm,Gia Lam,1,1,
13,Quận Nam Từ Liêm,Nam Tu Liem,1,1,
14,Huyện Thanh Trì,Thanh Tri,1,1,
15,Quận Bắc Từ Liêm,Bac Tu Liem,1,1,
16,Huyện Mê Linh,Me Linh,1,1,
17,Quận Hà Đông,Ha Dong,1,1,
18,Thị xã Sơn Tây,Son Tay Town,1,1,
19,Huyện Ba Vì,Ba Vi,1,1,
20,Huyện Phúc Thọ,Phuc Tho,1,1,
21,Huyện Đan Phượng,Dan Phuong,1,1,
22,Huyện Hoài Đức,Hoai Duc,1,1,
23,Huyện Quốc Oai,Quoc Oai,1,1,
24,Huyện Thạch Thất,Thach That,1,1,
25,Huyện Chương Mỹ,Chuong My,1,1,
26,Huyện Thanh Oai,Thanh Oai,1,1,
27,Huyện Thường Tín,Thuong Tin,1,1,
28,Huyện Phú Xuyên,Phu Xuyen,1,1,
29,Huyện Ứng Hòa,Ung Hoa,1,1,
30,Huyện Mỹ Đức,My Duc,1,1,
31,Thành phố Hà Giang,Ha Giang City,2,1,
32,Huyện Đồng Văn,Dong Van,2,1,
33,Huyện Mèo Vạc,Meo Vac,2,1,
34,Huyện Yên Minh,Yen Minh,2,1,
35,Huyện Quản Bạ,Quan Ba,2,1,
36,Huyện Vị Xuyên,Vi Xuyen,2,1,
37,Huyện Bắc Mê,Bac Me,2,1,
38,Huyện Hoàng Su Phì,Hoang Su Phi,2,1,
39,Huyện Xín Mần,Xin Man,2,1,
40,Huyện Bắc Quang,Bac Quang,2,1,
41,Huyện Quang Bình,Quang Binh,2,1,
42,Thành phố Cao Bằng,Cao Bang City,3,1,
43,Huyện Bảo Lâm,Bao Lam,3,1,
44,Huyện Bảo Lạc,Bao Lac,3,1,
45,Huyện Hà Quảng,Ha Quang,3,1,
46,Huyện Trùng Khánh,Trung Khanh,3,1,
47,Huyện Hạ Lang,Ha Lang,3,1,
48,Huyện Quảng Hòa,Quang Hoa,3,1,
49,Huyện Hoà An,Hoa An,3,1,
50,Huyện Nguyên Bình,Nguyen Binh,3,1,
51,Huyện Thạch An,Thach An,3,1,
52,Thành Phố Bắc Kạn,Bac Kan City,4,1,
53,Huyện Pác Nặm,Pac Nam,4,1,
54,Huyện Ba Bể,Ba Be,4,1,
55,Huyện Ngân Sơn,Ngan Son,4,1,
56,Huyện Bạch Thông,Bach Thong,4,1,
57,Huyện Chợ Đồn,Cho Don,4,1,
58,Huyện Chợ Mới,Cho Moi,4,1,
59,Huyện Na Rì,Na Ri,4,1,
60,Thành phố Tuyên Quang,Tuyen Quang City,5,1,
61,Huyện Lâm Bình,Lam Binh,5,1,
62,Huyện Na Hang,Na Hang,5,1,
63,Huyện Chiêm Hóa,Chiem Hoa,5,1,
64,Huyện Hàm Yên,Ham Yen,5,1,
65,Huyện Yên Sơn,Yen Son,5,1,
66,Huyện Sơn Dương,Son Duong,5,1,
67,Thành phố Lào Cai,Lao Cai City,6,1,
68,Huyện Bát Xát,Bat Xat,6,1,
69,Huyện Mường Khương,Muong Khuong,6,1,
70,Huyện Si Ma Cai,Si Ma Cai,6,1,
71,Huyện Bắc Hà,Bac Ha,6,1,
72,Huyện Bảo Thắng,Bao Thang,6,1,
73,Huyện Bảo Yên,Bao Yen,6,1,
74,Thị xã Sa Pa,Sa Pa Town,6,1,
75,Huyện Văn Bàn,Van Ban,6,1,
76,Thành phố Điện Biên Phủ,Dien Bien Phu City,7,1,
77,Thị Xã Mường Lay,Muong Lay Town,7,1,
78,Huyện Mường Nhé,Muong Nhe,7,1,
79,Huyện Mường Chà,Muong Cha,7,1,
80,Huyện Tủa Chùa,Tua Chua,7,1,
81,Huyện Tuần Giáo,Tuan Giao,7,1,
82,Huyện Điện Biên,Dien Bien,7,1,
83,Huyện Điện Biên Đông,Dien Bien Dong,7,1,
84,Huyện Mường Ảng,Muong Ang,7,1,
85,Huyện Nậm Pồ,Nam Po,7,1,
86,Thành phố Lai Châu,Lai Chau City,8,1,
87,Huyện Tam Đường,Tam Duong,8,1,
88,Huyện Mường Tè,Muong Te,8,1,
89,Huyện Sìn Hồ,Sin Ho,8,1,
90,Huyện Phong Thổ,Phong Tho,8,1,
91,Huyện Than Uyên,Than Uyen,8,1,
92,Huyện Tân Uyên,Tan Uyen,8,1,
93,Huyện Nậm Nhùn,Nam Nhun,8,1,
94,Thành phố Sơn La,Son La City,9,1,
95,Huyện Quỳnh Nhai,Quynh Nhai,9,1,
96,Huyện Thuận Châu,Thuan Chau,9,1,
97,Huyện Mường La,Muong La,9,1,
98,Huyện Bắc Yên,Bac Yen,9,1,
99,Huyện Phù Yên,Phu Yen,9,1,
100,Huyện Mộc Châu,Moc Chau,9,1,
101,Huyện Yên Châu,Yen Chau,9,1,
102,Huyện Mai Sơn,Mai Son,9,1,
103,Huyện Sông Mã,Song Ma,9,1,
104,Huyện Sốp Cộp,Sop Cop,9,1,
105,Huyện Vân Hồ,Van Ho,9,1,
106,Thành phố Yên Bái,Yen Bai City,10,1,
107,Thị xã Nghĩa Lộ,Nghia Lo Town,10,1,
108,Huyện Lục Yên,Luc Yen,10,1,
109,Huyện Văn Yên,Van Yen,10,1,
110,Huyện Mù Căng Chải,Mu Cang Chai,10,1,
111,Huyện Trấn Yên,Tran Yen,10,1,
112,Huyện Trạm Tấu,Tram Tau,10,1,
113,Huyện Văn Chấn,Van Chan,10,1,
114,Huyện Yên Bình,Yen Binh,10,1,
115,Thành phố Hòa Bình,Hoa Binh City,11,1,
116,Huyện Đà Bắc,Da Bac,11,1,
117,Huyện Lương Sơn,Luong Son,11,1,
118,Huyện Kim Bôi,Kim Boi,11,1,
119,Huyện Cao Phong,Cao Phong,11,1,
120,Huyện Tân Lạc,Tan Lac,11,1,
121,Huyện Mai Châu,Mai Chau,11,1,
122,Huyện Lạc Sơn,Lac Son,11,1,
123,Huyện Yên Thủy,Yen Thuy,11,1,
124,Huyện Lạc Thủy,Lac Thuy,11,1,
125,Thành phố Thái Nguyên,Thai Nguyen City,12,1,
126,Thành phố Sông Công,Song Cong City,12,1,
127,Huyện Định Hóa,Dinh Hoa,12,1,
128,Huyện Phú Lương,Phu Luong,12,1,
129,Huyện Đồng Hỷ,Dong Hy,12,1,
130,Huyện Võ Nhai,Vo Nhai,12,1,
131,Huyện Đại Từ,Dai Tu,12,1,
132,Thành phố Phổ Yên,Pho Yen City,12,1,
133,Huyện Phú Bình,Phu Binh,12,1,
134,Thành phố Lạng Sơn,Lang Son City,13,1,
135,Huyện Tràng Định,Trang Dinh,13,1,
136,Huyện Bình Gia,Binh Gia,13,1,
137,Huyện Văn Lãng,Van Lang,13,1,
