code,name_vi,name_en,country,zip_code
1,Hà Nội,Ha Noi,1,
2,Hà Giang,Ha Giang,1,
3,Cao Bằng,Cao Bang,1,
4,Bắc Kạn,Bac Kan,1,
5,Tuyên Quang,Tuyen Quang,1,
6,Lào Cai,Lao Cai,1,
7,Điện Biên,Dien Bien,1,
8,Lai Châu,Lai Chau,1,
9,Sơn La,Son La,1,
10,Yên Bái,Yen Bai,1,
11,Hoà Bình,Hoa Binh,1,
12,Thái Nguyên,Thai Nguyen,1,
13,Lạng Sơn,Lang Son,1,
14,Quảng Ninh,Quang Ninh,1,
15,Bắc Giang,Bac Giang,1,
16,Phú Thọ,Phu Tho,1,
17,Vĩnh Phúc,Vinh Phuc,1,
18,Bắc Ninh,Bac Ninh,1,
19,Hải Dương,Hai Duong,1,
20,Hải Phòng,Hai Phong,1,
21,Hưng Yên,Hung Yen,1,
22,Thái Bình,Thai Binh,1,
23,Hà Nam,Ha Nam,1,
24,Nam Định,Nam Dinh,1,
25,Ninh Bình,Ninh Binh,1,
26,Thanh Hóa,Thanh Hoa,1,
27,Nghệ An,Nghe An,1,
28,Hà Tĩnh,Ha Tinh,1,
29,Quảng Bình,Quang Binh,1,
30,Quảng Trị,Quang Tri,1,
31,Thừa Thiên Huế,Thua Thien Hue,1,
32,Đà Nẵng,Da Nang,1,
33,Quảng Nam,Quang Nam,1,
34,Quảng Ngãi,Quang Ngai,1,
35,Bình Định,Binh Dinh,1,
36,Phú Yên,Phu Yen,1,
37,Khánh Hòa,Khanh Hoa,1,
38,Ninh Thuận,Ninh Thuan,1,
39,Bình Thuận,Binh Thuan,1,
40,Kon Tum,Kon Tum,1,
41,Gia Lai,Gia Lai,1,
42,Đắk Lắk,Dak Lak,1,
43,Đắk Nông,Dak Nong,1,
44,Lâm Đồng,Lam Dong,1,
45,Bình Phước,Binh Phuoc,1,
46,Tây Ninh,Tay Ninh,1,
47,Bình Dương,Binh Duong,1,
48,Đồng Nai,Dong Nai,1,
49,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,1,
50,Hồ Chí Minh,Ho Chi Minh,1,
51,Long An,Long An,1,
52,Tiền Giang,Tien Giang,1,
53,Bến Tre,Ben Tre,1,
54,Trà Vinh,Tra Vinh,1,
55,Vĩnh Long,Vinh Long,1,
56,Đồng Tháp,Dong Thap,1,
57,An Giang,An Giang,1,
58,Kiên Giang,Kien Giang,1,
59,Cần Thơ,Can Tho,1,
60,Hậu Giang,Hau Giang,1,
61,Sóc Trăng,Soc Trang,1,
62,Bạc Liêu,Bac Lieu,1,
63,Cà Mau,Ca Mau,1,
64,Alabama,Alabama,2,
65,Alaska,Alaska,2,
66,American Samoa,American Samoa,2,
67,Arizona,Arizona,2,
68,Arkansas,Arkansas,2,
69,California,California,2,
70,Colorado,Colorado,2,
71,Connecticut,Connecticut,2,
72,Delaware,Delaware,2,
73,District of Columbia,District of Columbia,2,
74,Florida,Florida,2,
75,Georgia,Georgia,2,
76,Guam,Guam,2,
77,Hawaii,Hawaii,2,
78,Idaho,Idaho,2,
79,Illinois,Illinois,2,
80,Indiana,Indiana,2,
81,Iowa,Iowa,2,
82,Kansas,Kansas,2,
83,Kentucky,Kentucky,2,
84,Louisiana,Louisiana,2,
85,Maine,Maine,2,
86,Maryland,Maryland,2,
87,Massachusetts,Massachusetts,2,
88,Michigan,Michigan,2,
89,Minnesota,Minnesota,2,
90,Mississippi,Mississippi,2,
91,Missouri,Missouri,2,
92,Montana,Montana,2,
93,Nebraska,Nebraska,2,
94,Nevada,Nevada,2,
95,New Hampshire,New Hampshire,2,
96,New Jersey,New Jersey,2,
97,New Mexico,New Mexico,2,
98,New York,New York,2,
99,North Carolina,North Carolina,2,
100,North Dakota,North Dakota,2,
101,Northern Mariana Islands,Northern Mariana Islands,2,
102,Ohio,Ohio,2,
103,Oklahoma,Oklahoma,2,
104,Oregon,Oregon,2,
105,Pennsylvania,Pennsylvania,2,
106,Puerto Rico,Puerto Rico,2,
107,Rhode Island,Rhode Island,2,
108,South Carolina,South Carolina,2,
109,South Dakota,South Dakota,2,
110,Tennessee,Tennessee,2,
111,Texas,Texas,2,
112,Utah,Utah,2,
113,Vermont,Vermont,2,
114,Virgin Islands,Virgin Islands,2,
115,Virginia,Virginia,2,
116,Washington,Washington,2,
117,West Virginia,West Virginia,2,
118,Wisconsin,Wisconsin,2,
119,Wyoming,Wyoming,2,
