code,name_vi,name_en,district,country,zip_code
1,Phường Phúc Xá,Ward Phuc Xa,1,1,00001
2,Phường Trúc Bạch,Ward Truc Bach,1,1,00004
3,Phường Vĩnh Phúc,Ward Vinh Phuc,1,1,00006
4,Phường Cống Vị,Ward Cong Vi,1,1,00007
5,Phường Liễu Giai,Ward Lieu Giai,1,1,00008
6,Phường Nguyễn Trung Trực,Ward Nguyen Trung Truc,1,1,00010
7,Phường Quán Thánh,Ward Quan Thanh,1,1,00013
8,Phường Ngọc Hà,Ward Ngoc Ha,1,1,00016
9,Phường Điện Biên,Ward Dien Bien,1,1,00019
10,Phường Đội Cấn,Ward Doi Can,1,1,00022
11,Phường Ngọc Khánh,Ward Ngoc Khanh,1,1,00025
12,Phường Kim Mã,Ward Kim Ma,1,1,00028
13,Phường Giảng Võ,Ward Giang Vo,1,1,00031
14,Phường Thành Công,Ward Thanh Cong,1,1,00034
15,Phường Phúc Tân,Ward Phuc Tan,2,1,00037
16,Phường Đồng Xuân,Ward Dong Xuan,2,1,00040
17,Phường Hàng Mã,Ward Hang Ma,2,1,00043
18,Phường Hàng Buồm,Ward Hang Buom,2,1,00046
19,Phường Hàng Đào,Ward Hang Dao,2,1,00049
20,Phường Hàng Bồ,Ward Hang Bo,2,1,00052
21,Phường Cửa Đông,Ward Cua Dong,2,1,00055
22,Phường Lý Thái Tổ,Ward Ly Thai To,2,1,00058
23,Phường Hàng Bạc,Ward Hang Bac,2,1,00061
24,Phường Hàng Gai,Ward Hang Gai,2,1,00064
25,Phường Chương Dương,Ward Chuong Duong,2,1,00067
26,Phường Hàng Trống,Ward Hang Trong,2,1,00070
27,Phường Cửa Nam,Ward Cua Nam,2,1,00073
28,Phường Hàng Bông,Ward Hang Bong,2,1,00076
29,Phường Tràng Tiền,Ward Trang Tien,2,1,00079
30,Phường Trần Hưng Đạo,Ward Tran Hung Dao,2,1,00082
31,Phường Phan Chu Trinh,Ward Phan Chu Trinh,2,1,00085
32,Phường Hàng Bài,Ward Hang Bai,2,1,00088
33,Phường Phú Thượng,Ward Phu Thuong,3,1,00091
34,Phường Nhật Tân,Ward Nhat Tan,3,1,00094
35,Phường Tứ Liên,Ward Tu Lien,3,1,00097
36,Phường Quảng An,Ward Quang An,3,1,00100
37,Phường Xuân La,Ward Xuan La,3,1,00103
38,Phường Yên Phụ,Ward Yen Phu,3,1,00106
39,Phường Bưởi,Ward Buoi,3,1,00109
40,Phường Thụy Khuê,Ward Thuy Khue,3,1,00112
41,Phường Thượng Thanh,Ward Thuong Thanh,4,1,00115
42,Phường Ngọc Thụy,Ward Ngoc Thuy,4,1,00118
43,Phường Giang Biên,Ward Giang Bien,4,1,00121
44,Phường Đức Giang,Ward Duc Giang,4,1,00124
45,Phường Việt Hưng,Ward Viet Hung,4,1,00127
46,Phường Gia Thụy,Ward Gia Thuy,4,1,00130
47,Phường Ngọc Lâm,Ward Ngoc Lam,4,1,00133
48,Phường Phúc Lợi,Ward Phuc Loi,4,1,00136
49,Phường Bồ Đề,Ward Bo De,4,1,00139
50,Phường Sài Đồng,Ward Sai Dong,4,1,00142
51,Phường Long Biên,Ward Long Bien,4,1,00145
52,Phường Thạch Bàn,Ward Thach Ban,4,1,00148
53,Phường Phúc Đồng,Ward Phuc Dong,4,1,00151
54,Phường Cự Khối,Ward Cu Khoi,4,1,00154
55,Phường Nghĩa Đô,Ward Nghia Do,5,1,00157
56,Phường Nghĩa Tân,Ward Nghia Tan,5,1,00160
57,Phường Mai Dịch,Ward Mai Dich,5,1,00163
58,Phường Dịch Vọng,Ward Dich Vong,5,1,00166
59,Phường Dịch Vọng Hậu,Ward Dich Vong Hau,5,1,00167
60,Phường Quan Hoa,Ward Quan Hoa,5,1,00169
61,Phường Yên Hoà,Ward Yen Hoa,5,1,00172
62,Phường Trung Hoà,Ward Trung Hoa,5,1,00175
63,Phường Cát Linh,Ward Cat Linh,6,1,00178
64,Phường Văn Miếu,Ward Van Mieu,6,1,00181
65,Phường Quốc Tử Giám,Ward Quoc Tu Giam,6,1,00184
66,Phường Láng Thượng,Ward Lang Thuong,6,1,00187
67,Phường Ô Chợ Dừa,Ward O Cho Dua,6,1,00190
68,Phường Văn Chương,Ward Van Chuong,6,1,00193
69,Phường Hàng Bột,Ward Hang Bot,6,1,00196
70,Phường Láng Hạ,Ward Lang Ha,6,1,00199
71,Phường Khâm Thiên,Ward Kham Thien,6,1,00202
72,Phường Thổ Quan,Ward Tho Quan,6,1,00205
73,Phường Nam Đồng,Ward Nam Dong,6,1,00208
74,Phường Trung Phụng,Ward Trung Phung,6,1,00211
75,Phường Quang Trung,Ward Quang Trung,6,1,00214
76,Phường Trung Liệt,Ward Trung Liet,6,1,00217
77,Phường Phương Liên,Ward Ward Lien,6,1,00220
78,Phường Thịnh Quang,Ward Thinh Quang,6,1,00223
79,Phường Trung Tự,Ward Trung Tu,6,1,00226
80,Phường Kim Liên,Ward Kim Lien,6,1,00229
81,Phường Phương Mai,Ward Ward Mai,6,1,00232
82,Phường Ngã Tư Sở,Ward Nga Tu So,6,1,00235
83,Phường Khương Thượng,Ward Khuong Thuong,6,1,00238
84,Phường Nguyễn Du,Ward Nguyen Du,7,1,00241
85,Phường Bạch Đằng,Ward Bach Dang,7,1,00244
86,Phường Phạm Đình Hổ,Ward Pham Dinh Ho,7,1,00247
87,Phường Lê Đại Hành,Ward Le Dai Hanh,7,1,00256
88,Phường Đồng Nhân,Ward Dong Nhan,7,1,00259
89,Phường Phố Huế,Ward Pho Hue,7,1,00262
90,Phường Đống Mác,Ward Dong Mac,7,1,00265
91,Phường Thanh Lương,Ward Thanh Luong,7,1,00268
92,Phường Thanh Nhàn,Ward Thanh Nhan,7,1,00271
93,Phường Cầu Dền,Ward Cau Den,7,1,00274
94,Phường Bách Khoa,Ward Bach Khoa,7,1,00277
95,Phường Đồng Tâm,Ward Dong Tam,7,1,00280
96,Phường Vĩnh Tuy,Ward Vinh Tuy,7,1,00283
97,Phường Bạch Mai,Ward Bach Mai,7,1,00286
98,Phường Quỳnh Mai,Ward Quynh Mai,7,1,00289
99,Phường Quỳnh Lôi,Ward Quynh Loi,7,1,00292
100,Phường Minh Khai,Ward Minh Khai,7,1,00295
101,Phường Trương Định,Ward Truong Dinh,7,1,00298
102,Phường Thanh Trì,Ward Thanh Tri,8,1,00301
103,Phường Vĩnh Hưng,Ward Vinh Hung,8,1,00304
104,Phường Định Công,Ward Dinh Cong,8,1,00307
105,Phường Mai Động,Ward Mai Dong,8,1,00310
106,Phường Tương Mai,Ward Tuong Mai,8,1,00313
107,Phường Đại Kim,Ward Dai Kim,8,1,00316
108,Phường Tân Mai,Ward Tan Mai,8,1,00319
109,Phường Hoàng Văn Thụ,Ward Hoang Van Thu,8,1,00322
110,Phường Giáp Bát,Ward Giap Bat,8,1,00325
111,Phường Lĩnh Nam,Ward Linh Nam,8,1,00328
112,Phường Thịnh Liệt,Ward Thinh Liet,8,1,00331
113,Phường Trần Phú,Ward Tran Phu,8,1,00334
114,Phường Hoàng Liệt,Ward Hoang Liet,8,1,00337
115,Phường Yên Sở,Ward Yen So,8,1,00340
116,Phường Nhân Chính,Ward Nhan Chinh,9,1,00343
